file: 0000.jpg; corr: -1.0000000000; position: (66, 0); grid: (0, 0);
file: 0001.jpg; corr: 3.8653182455; position: (1785, 17); grid: (1, 0);
file: 0002.jpg; corr: 3.8781892034; position: (3500, 34); grid: (2, 0);
file: 0003.jpg; corr: 3.8647747681; position: (5219, 50); grid: (3, 0);
file: 0004.jpg; corr: 3.8467201493; position: (6934, 67); grid: (4, 0);
file: 0005.jpg; corr: 3.8901151317; position: (8652, 83); grid: (5, 0);
file: 0006.jpg; corr: 3.9172002217; position: (10369, 99); grid: (6, 0);
file: 0007.jpg; corr: 3.8279285879; position: (12086, 115); grid: (7, 0);
file: 0008.jpg; corr: 3.8693185393; position: (13805, 131); grid: (8, 0);
file: 0009.jpg; corr: 3.8739168581; position: (15521, 148); grid: (9, 0);
file: 0010.jpg; corr: 3.7814719312; position: (61, 1284); grid: (0, 1);
file: 0011.jpg; corr: 3.8555579279; position: (1781, 1302); grid: (1, 1);
file: 0012.jpg; corr: 3.9046635583; position: (3497, 1318); grid: (2, 1);
file: 0013.jpg; corr: 3.8856637679; position: (5215, 1334); grid: (3, 1);
file: 0014.jpg; corr: 3.8760671695; position: (6931, 1350); grid: (4, 1);
file: 0015.jpg; corr: 3.8859674011; position: (8648, 1365); grid: (5, 1);
file: 0016.jpg; corr: 3.8651877275; position: (10365, 1381); grid: (6, 1);
file: 0017.jpg; corr: 3.8704906956; position: (12080, 1398); grid: (7, 1);
file: 0018.jpg; corr: 3.8744562838; position: (13798, 1415); grid: (8, 1);
file: 0019.jpg; corr: 3.8844491265; position: (15513, 1431); grid: (9, 1);
file: 0020.jpg; corr: 3.8953254759; position: (54, 2569); grid: (0, 2);
file: 0021.jpg; corr: 3.8754897913; position: (1768, 2585); grid: (1, 2);
file: 0022.jpg; corr: 3.9162180387; position: (3483, 2601); grid: (2, 2);
file: 0023.jpg; corr: 3.8758049452; position: (5202, 2617); grid: (3, 2);
file: 0024.jpg; corr: 3.9010624528; position: (6918, 2633); grid: (4, 2);
file: 0025.jpg; corr: 3.8578418662; position: (8635, 2649); grid: (5, 2);
file: 0026.jpg; corr: 3.8609515733; position: (10353, 2666); grid: (6, 2);
file: 0027.jpg; corr: 3.9011336122; position: (12067, 2683); grid: (7, 2);
file: 0028.jpg; corr: 3.8746637119; position: (13785, 2699); grid: (8, 2);
file: 0029.jpg; corr: 3.8473858807; position: (15501, 2715); grid: (9, 2);
file: 0030.jpg; corr: 3.8742535295; position: (45, 3849); grid: (0, 3);
file: 0031.jpg; corr: 3.8773138670; position: (1762, 3865); grid: (1, 3);
file: 0032.jpg; corr: 3.8593766075; position: (3478, 3881); grid: (2, 3);
file: 0033.jpg; corr: 3.9103989436; position: (5196, 3897); grid: (3, 3);
file: 0034.jpg; corr: 3.8953500599; position: (6912, 3913); grid: (4, 3);
file: 0035.jpg; corr: 3.8509189048; position: (8629, 3930); grid: (5, 3);
file: 0036.jpg; corr: 3.8725277457; position: (10345, 3946); grid: (6, 3);
file: 0037.jpg; corr: 3.8944084227; position: (12061, 3963); grid: (7, 3);
file: 0038.jpg; corr: 3.8913128640; position: (13780, 3979); grid: (8, 3);
file: 0039.jpg; corr: 3.8714477287; position: (15494, 3995); grid: (9, 3);
file: 0040.jpg; corr: 3.7238334541; position: (39, 5133); grid: (0, 4);
file: 0041.jpg; corr: 3.8280968028; position: (1753, 5149); grid: (1, 4);
file: 0042.jpg; corr: 3.8943221611; position: (3467, 5165); grid: (2, 4);
file: 0043.jpg; corr: 3.8832922121; position: (5186, 5180); grid: (3, 4);
file: 0044.jpg; corr: 3.8553669363; position: (6901, 5197); grid: (4, 4);
file: 0045.jpg; corr: 3.8224673421; position: (8620, 5213); grid: (5, 4);
file: 0046.jpg; corr: 3.8602517634; position: (10338, 5230); grid: (6, 4);
file: 0047.jpg; corr: 3.8773759326; position: (12053, 5246); grid: (7, 4);
file: 0048.jpg; corr: 3.8625126961; position: (13772, 5262); grid: (8, 4);
file: 0049.jpg; corr: 3.8839378073; position: (15488, 5278); grid: (9, 4);
file: 0050.jpg; corr: 3.7968199397; position: (32, 6411); grid: (0, 5);
file: 0051.jpg; corr: 3.8440222358; position: (1752, 6427); grid: (1, 5);
file: 0052.jpg; corr: 3.8369475532; position: (3468, 6443); grid: (2, 5);
file: 0053.jpg; corr: 3.8741566216; position: (5186, 6459); grid: (3, 5);
file: 0054.jpg; corr: 3.8585052003; position: (6904, 6475); grid: (4, 5);
file: 0055.jpg; corr: 3.8709385603; position: (8621, 6492); grid: (5, 5);
file: 0056.jpg; corr: 3.8550681277; position: (10337, 6508); grid: (6, 5);
file: 0057.jpg; corr: 3.8108396243; position: (12050, 6526); grid: (7, 5);
file: 0058.jpg; corr: 3.9315823884; position: (13768, 6542); grid: (8, 5);
file: 0059.jpg; corr: 3.9000568382; position: (15483, 6558); grid: (9, 5);
file: 0060.jpg; corr: 3.8211364324; position: (28, 7691); grid: (0, 6);
file: 0061.jpg; corr: 3.8610037830; position: (1742, 7708); grid: (1, 6);
file: 0062.jpg; corr: 3.8639522009; position: (3457, 7725); grid: (2, 6);
file: 0063.jpg; corr: 3.8366576070; position: (5176, 7741); grid: (3, 6);
file: 0064.jpg; corr: 3.8461352256; position: (6892, 7757); grid: (4, 6);
file: 0065.jpg; corr: 3.8860508710; position: (8609, 7774); grid: (5, 6);
file: 0066.jpg; corr: 3.8596352539; position: (10326, 7790); grid: (6, 6);
file: 0067.jpg; corr: 3.8835717556; position: (12041, 7806); grid: (7, 6);
file: 0068.jpg; corr: 3.9118064351; position: (13759, 7822); grid: (8, 6);
file: 0069.jpg; corr: 3.9080798706; position: (15474, 7840); grid: (9, 6);
file: 0070.jpg; corr: 3.8031248973; position: (18, 8979); grid: (0, 7);
file: 0071.jpg; corr: 3.8690717549; position: (1738, 8995); grid: (1, 7);
file: 0072.jpg; corr: 3.8670908943; position: (3452, 9011); grid: (2, 7);
file: 0073.jpg; corr: 3.8618218395; position: (5171, 9027); grid: (3, 7);
file: 0074.jpg; corr: 3.8824430414; position: (6887, 9043); grid: (4, 7);
file: 0075.jpg; corr: 3.9027567440; position: (8603, 9060); grid: (5, 7);
file: 0076.jpg; corr: 3.8632760298; position: (10320, 9077); grid: (6, 7);
file: 0077.jpg; corr: 3.8819444455; position: (12035, 9093); grid: (7, 7);
file: 0078.jpg; corr: 3.8925753295; position: (13754, 9109); grid: (8, 7);
file: 0079.jpg; corr: 3.8751307143; position: (15469, 9126); grid: (9, 7);
file: 0080.jpg; corr: 3.8179632857; position: (11, 10257); grid: (0, 8);
file: 0081.jpg; corr: 3.8364214925; position: (1725, 10273); grid: (1, 8);
file: 0082.jpg; corr: 3.8193948132; position: (3440, 10289); grid: (2, 8);
file: 0083.jpg; corr: 3.8637031239; position: (5158, 10305); grid: (3, 8);
file: 0084.jpg; corr: 3.8721324751; position: (6874, 10321); grid: (4, 8);
file: 0085.jpg; corr: 3.8585025914; position: (8591, 10337); grid: (5, 8);
file: 0086.jpg; corr: 3.8518621822; position: (10309, 10354); grid: (6, 8);
file: 0087.jpg; corr: 3.8600906573; position: (12024, 10370); grid: (7, 8);
file: 0088.jpg; corr: 3.9242578188; position: (13742, 10386); grid: (8, 8);
file: 0089.jpg; corr: 3.8921306056; position: (15458, 10403); grid: (9, 8);
file: 0090.jpg; corr: 3.8072623451; position: (0, 11543); grid: (0, 9);
file: 0091.jpg; corr: 3.8626972941; position: (1718, 11559); grid: (1, 9);
file: 0092.jpg; corr: 3.8586230187; position: (3432, 11576); grid: (2, 9);
file: 0093.jpg; corr: 3.8413650299; position: (5151, 11592); grid: (3, 9);
file: 0094.jpg; corr: 3.8609502962; position: (6865, 11608); grid: (4, 9);
file: 0095.jpg; corr: 3.8570011300; position: (8582, 11625); grid: (5, 9);
file: 0096.jpg; corr: 3.8681851018; position: (10302, 11642); grid: (6, 9);
file: 0097.jpg; corr: 3.9200326060; position: (12017, 11659); grid: (7, 9);
file: 0098.jpg; corr: 3.8722977052; position: (13738, 11675); grid: (8, 9);
file: 0099.jpg; corr: 3.8593748479; position: (15451, 11690); grid: (9, 9);
