file: 0000.jpg; corr: -1.0000000000; position: (87, 0); grid: (0, 0);
file: 0001.jpg; corr: 3.9003799503; position: (1808, 16); grid: (1, 0);
file: 0002.jpg; corr: 3.9456974802; position: (3527, 32); grid: (2, 0);
file: 0003.jpg; corr: 0.8766425753; position: (5244, 47); grid: (3, 0);
file: 0004.jpg; corr: 3.8573231578; position: (6961, 63); grid: (4, 0);
file: 0005.jpg; corr: 3.8893496984; position: (8679, 79); grid: (5, 0);
file: 0006.jpg; corr: 3.9584786045; position: (10396, 95); grid: (6, 0);
file: 0007.jpg; corr: 3.8568995875; position: (12114, 110); grid: (7, 0);
file: 0008.jpg; corr: 3.8652402607; position: (13836, 126); grid: (8, 0);
file: 0009.jpg; corr: 3.8967322640; position: (15554, 142); grid: (9, 0);
file: 0010.jpg; corr: 3.8461101116; position: (92, 1286); grid: (0, 1);
file: 0011.jpg; corr: 3.9008403524; position: (1809, 1301); grid: (1, 1);
file: 0012.jpg; corr: 3.9513268284; position: (3530, 1317); grid: (2, 1);
file: 0013.jpg; corr: 3.8609050070; position: (5247, 1333); grid: (3, 1);
file: 0014.jpg; corr: 3.8665508337; position: (6964, 1349); grid: (4, 1);
file: 0015.jpg; corr: 3.8491542108; position: (8682, 1365); grid: (5, 1);
file: 0016.jpg; corr: 3.8847070619; position: (10399, 1381); grid: (6, 1);
file: 0017.jpg; corr: 3.8479387194; position: (12115, 1398); grid: (7, 1);
file: 0018.jpg; corr: 3.8422395101; position: (13838, 1412); grid: (8, 1);
file: 0019.jpg; corr: 3.8548308715; position: (15552, 1429); grid: (9, 1);
file: 0020.jpg; corr: 0.7825186312; position: (85, 2570); grid: (0, 2);
file: 0021.jpg; corr: 3.8867511680; position: (1797, 2586); grid: (1, 2);
file: 0022.jpg; corr: 3.9123588484; position: (3515, 2602); grid: (2, 2);
file: 0023.jpg; corr: 3.8504177865; position: (5234, 2615); grid: (3, 2);
file: 0024.jpg; corr: 3.8531244090; position: (6952, 2632); grid: (4, 2);
file: 0025.jpg; corr: 3.8238280801; position: (8667, 2649); grid: (5, 2);
file: 0026.jpg; corr: 3.8814770734; position: (10386, 2663); grid: (6, 2);
file: 0027.jpg; corr: 3.8994046559; position: (12101, 2680); grid: (7, 2);
file: 0028.jpg; corr: 3.8596045031; position: (13823, 2696); grid: (8, 2);
file: 0029.jpg; corr: 3.8296342644; position: (15542, 2713); grid: (9, 2);
file: 0030.jpg; corr: 3.8738575547; position: (71, 3847); grid: (0, 3);
file: 0031.jpg; corr: 3.8653030170; position: (1789, 3864); grid: (1, 3);
file: 0032.jpg; corr: 3.8587093298; position: (3510, 3879); grid: (2, 3);
file: 0033.jpg; corr: 3.8384053062; position: (5228, 3895); grid: (3, 3);
file: 0034.jpg; corr: 3.8917628938; position: (6945, 3911); grid: (4, 3);
file: 0035.jpg; corr: 3.8484444297; position: (8664, 3926); grid: (5, 3);
file: 0036.jpg; corr: 3.9098532048; position: (10383, 3941); grid: (6, 3);
file: 0037.jpg; corr: 3.9340170436; position: (12099, 3958); grid: (7, 3);
file: 0038.jpg; corr: 3.8582799881; position: (13818, 3973); grid: (8, 3);
file: 0039.jpg; corr: 3.8321364623; position: (15537, 3992); grid: (9, 3);
file: 0040.jpg; corr: 3.8283864088; position: (64, 5133); grid: (0, 4);
file: 0041.jpg; corr: 3.8191737487; position: (1776, 5148); grid: (1, 4);
file: 0042.jpg; corr: 3.8360190664; position: (3494, 5164); grid: (2, 4);
file: 0043.jpg; corr: 3.8246733326; position: (5211, 5180); grid: (3, 4);
file: 0044.jpg; corr: 3.8920744029; position: (6930, 5193); grid: (4, 4);
file: 0045.jpg; corr: 3.8710497475; position: (8647, 5209); grid: (5, 4);
file: 0046.jpg; corr: 3.8738744220; position: (10366, 5223); grid: (6, 4);
file: 0047.jpg; corr: 3.8608939928; position: (12080, 5239); grid: (7, 4);
file: 0048.jpg; corr: 3.8968736794; position: (13799, 5255); grid: (8, 4);
file: 0049.jpg; corr: 3.8086330657; position: (15517, 5271); grid: (9, 4);
file: 0050.jpg; corr: 3.7860199132; position: (47, 6406); grid: (0, 5);
file: 0051.jpg; corr: 3.8960023646; position: (1765, 6422); grid: (1, 5);
file: 0052.jpg; corr: 3.8919535247; position: (3485, 6438); grid: (2, 5);
file: 0053.jpg; corr: 3.8634095240; position: (5203, 6454); grid: (3, 5);
file: 0054.jpg; corr: 3.8826409238; position: (6920, 6471); grid: (4, 5);
file: 0055.jpg; corr: 3.8618853202; position: (8644, 6486); grid: (5, 5);
