file: 0000.jpg; corr: -1.0000000000; position: (72, 0); grid: (0, 0);
file: 0001.jpg; corr: 3.8020667822; position: (1786, 15); grid: (1, 0);
file: 0002.jpg; corr: 3.8997453575; position: (3503, 31); grid: (2, 0);
file: 0003.jpg; corr: 3.7793637492; position: (5223, 49); grid: (3, 0);
file: 0004.jpg; corr: 3.9690987333; position: (6939, 65); grid: (4, 0);
file: 0005.jpg; corr: 3.9528239801; position: (8656, 81); grid: (5, 0);
file: 0006.jpg; corr: 0.7730309035; position: (10380, 95); grid: (6, 0);
file: 0007.jpg; corr: 3.8759500262; position: (12097, 111); grid: (7, 0);
file: 0008.jpg; corr: 3.8379064682; position: (13815, 127); grid: (8, 0);
file: 0009.jpg; corr: 3.7976328681; position: (15535, 143); grid: (9, 0);
file: 0010.jpg; corr: 3.8363002728; position: (71, 1269); grid: (0, 1);
file: 0011.jpg; corr: 3.8357092892; position: (1789, 1286); grid: (1, 1);
file: 0012.jpg; corr: 3.8296568171; position: (3513, 1302); grid: (2, 1);
file: 0013.jpg; corr: 3.8862910284; position: (5229, 1318); grid: (3, 1);
file: 0014.jpg; corr: 3.8586537437; position: (6946, 1333); grid: (4, 1);
file: 0015.jpg; corr: 3.7977869249; position: (8666, 1349); grid: (5, 1);
file: 0016.jpg; corr: 3.8398458750; position: (10383, 1365); grid: (6, 1);
file: 0017.jpg; corr: 3.8545692226; position: (12102, 1379); grid: (7, 1);
file: 0018.jpg; corr: 3.8713464168; position: (13817, 1394); grid: (8, 1);
file: 0019.jpg; corr: 3.8454636348; position: (15533, 1408); grid: (9, 1);
file: 0020.jpg; corr: 3.7987560457; position: (68, 2551); grid: (0, 2);
file: 0021.jpg; corr: 3.8676534803; position: (1778, 2566); grid: (1, 2);
file: 0022.jpg; corr: 3.8532843731; position: (3493, 2582); grid: (2, 2);
file: 0023.jpg; corr: 3.7259081097; position: (5215, 2600); grid: (3, 2);
file: 0024.jpg; corr: 3.8070313316; position: (6931, 2615); grid: (4, 2);
file: 0025.jpg; corr: 3.8695515634; position: (8648, 2631); grid: (5, 2);
file: 0026.jpg; corr: 3.8396899179; position: (10369, 2647); grid: (6, 2);
file: 0027.jpg; corr: 3.7816200159; position: (12088, 2660); grid: (7, 2);
file: 0028.jpg; corr: 3.8881174313; position: (13805, 2676); grid: (8, 2);
file: 0029.jpg; corr: 0.7860567756; position: (15526, 2693); grid: (9, 2);
file: 0030.jpg; corr: 0.7190313028; position: (53, 3831); grid: (0, 3);
file: 0031.jpg; corr: 3.8270089720; position: (1773, 3847); grid: (1, 3);
file: 0032.jpg; corr: 3.8120016890; position: (3490, 3863); grid: (2, 3);
file: 0033.jpg; corr: 3.8013409832; position: (5206, 3880); grid: (3, 3);
file: 0034.jpg; corr: 3.8440289346; position: (6923, 3896); grid: (4, 3);
file: 0035.jpg; corr: 3.9035805099; position: (8651, 3914); grid: (5, 3);
file: 0036.jpg; corr: 3.8888358120; position: (10369, 3930); grid: (6, 3);
file: 0037.jpg; corr: 3.8808970099; position: (12084, 3947); grid: (7, 3);
file: 0038.jpg; corr: 3.8352070159; position: (13804, 3960); grid: (8, 3);
file: 0039.jpg; corr: 3.8359980309; position: (15521, 3976); grid: (9, 3);
file: 0040.jpg; corr: 0.7278919012; position: (49, 5108); grid: (0, 4);
file: 0041.jpg; corr: 3.8062891870; position: (1761, 5123); grid: (1, 4);
file: 0042.jpg; corr: 3.7979656011; position: (3476, 5139); grid: (2, 4);
file: 0043.jpg; corr: 3.8206282072; position: (5192, 5155); grid: (3, 4);
file: 0044.jpg; corr: 3.8338962940; position: (6906, 5171); grid: (4, 4);
file: 0045.jpg; corr: 3.8060358744; position: (8624, 5187); grid: (5, 4);
file: 0046.jpg; corr: 3.9300895387; position: (10341, 5204); grid: (6, 4);
file: 0047.jpg; corr: 3.8573522140; position: (12058, 5218); grid: (7, 4);
file: 0048.jpg; corr: 3.7776201085; position: (13778, 5236); grid: (8, 4);
file: 0049.jpg; corr: 3.8794959805; position: (15496, 5251); grid: (9, 4);
file: 0050.jpg; corr: 3.8244192261; position: (35, 6384); grid: (0, 5);
file: 0051.jpg; corr: 3.8206268315; position: (1755, 6400); grid: (1, 5);
file: 0052.jpg; corr: 3.7307333582; position: (3470, 6414); grid: (2, 5);
file: 0053.jpg; corr: 3.8141641987; position: (5190, 6427); grid: (3, 5);
file: 0054.jpg; corr: 3.7999007128; position: (6904, 6448); grid: (4, 5);
file: 0055.jpg; corr: 3.8932919969; position: (8624, 6465); grid: (5, 5);
file: 0056.jpg; corr: 3.8990501467; position: (10338, 6480); grid: (6, 5);
file: 0057.jpg; corr: 3.8100884835; position: (12057, 6498); grid: (7, 5);
file: 0058.jpg; corr: 3.8200576719; position: (13772, 6514); grid: (8, 5);
file: 0059.jpg; corr: 3.8322816623; position: (15489, 6529); grid: (9, 5);
file: 0060.jpg; corr: 3.8287089111; position: (30, 7652); grid: (0, 6);
file: 0061.jpg; corr: 3.8579161836; position: (1741, 7668); grid: (1, 6);
file: 0062.jpg; corr: 3.9101716339; position: (3456, 7684); grid: (2, 6);
file: 0063.jpg; corr: 3.8936772985; position: (5173, 7699); grid: (3, 6);
file: 0064.jpg; corr: 3.8292650467; position: (6887, 7718); grid: (4, 6);
file: 0065.jpg; corr: 3.8776269245; position: (8605, 7734); grid: (5, 6);
file: 0066.jpg; corr: 3.8814772653; position: (10324, 7750); grid: (6, 6);
file: 0067.jpg; corr: 3.8329609817; position: (12038, 7767); grid: (7, 6);
file: 0068.jpg; corr: 3.8420818436; position: (13756, 7783); grid: (8, 6);
file: 0069.jpg; corr: 3.7169032030; position: (15473, 7796); grid: (9, 6);
file: 0070.jpg; corr: 3.7690341199; position: (19, 8943); grid: (0, 7);
file: 0071.jpg; corr: 3.9055746784; position: (1737, 8959); grid: (1, 7);
file: 0072.jpg; corr: 3.9545029315; position: (3453, 8974); grid: (2, 7);
file: 0073.jpg; corr: 3.9075803916; position: (5171, 8990); grid: (3, 7);
file: 0074.jpg; corr: 3.8979050609; position: (6886, 9006); grid: (4, 7);
file: 0075.jpg; corr: 3.8929055580; position: (8604, 9021); grid: (5, 7);
file: 0076.jpg; corr: 3.8082959901; position: (10323, 9038); grid: (6, 7);
file: 0077.jpg; corr: 3.7713854916; position: (12038, 9056); grid: (7, 7);
file: 0078.jpg; corr: 3.7727965997; position: (13753, 9071); grid: (8, 7);
file: 0079.jpg; corr: 3.7588300796; position: (15470, 9087); grid: (9, 7);
file: 0080.jpg; corr: 3.8005017602; position: (12, 10234); grid: (0, 8);
file: 0081.jpg; corr: 3.8433905068; position: (1724, 10248); grid: (1, 8);
file: 0082.jpg; corr: 3.9045474476; position: (3440, 10264); grid: (2, 8);
file: 0083.jpg; corr: 3.8275870249; position: (5156, 10279); grid: (3, 8);
file: 0084.jpg; corr: 0.7773645565; position: (6873, 10293); grid: (4, 8);
file: 0085.jpg; corr: 3.9086867323; position: (8590, 10308); grid: (5, 8);
file: 0086.jpg; corr: 3.8018171432; position: (10307, 10330); grid: (6, 8);
file: 0087.jpg; corr: 3.8537281264; position: (12022, 10347); grid: (7, 8);
file: 0088.jpg; corr: 3.7923754733; position: (13740, 10364); grid: (8, 8);
file: 0089.jpg; corr: 3.8692309196; position: (15457, 10380); grid: (9, 8);
file: 0090.jpg; corr: 0.7508682313; position: (0, 11514); grid: (0, 9);
file: 0091.jpg; corr: 3.8003879350; position: (1721, 11529); grid: (1, 9);
file: 0092.jpg; corr: 3.9041574094; position: (3438, 11545); grid: (2, 9);
file: 0093.jpg; corr: 3.8895509505; position: (5154, 11561); grid: (3, 9);
file: 0094.jpg; corr: 3.8683791448; position: (6870, 11576); grid: (4, 9);
file: 0095.jpg; corr: 3.8649696441; position: (8593, 11586); grid: (5, 9);
file: 0096.jpg; corr: 3.8519208411; position: (10309, 11602); grid: (6, 9);
file: 0097.jpg; corr: 3.8136578831; position: (12024, 11628); grid: (7, 9);
file: 0098.jpg; corr: 3.8757510007; position: (13738, 11644); grid: (8, 9);
file: 0099.jpg; corr: 3.8493025493; position: (15457, 11660); grid: (9, 9);
