file: 0000.jpg; corr: -1.0000000000; position: (0, 145); grid: (0, 0);
file: 0001.jpg; corr: 3.7350869437; position: (1716, 128); grid: (1, 0);
file: 0002.jpg; corr: 3.8787993330; position: (3433, 113); grid: (2, 0);
file: 0003.jpg; corr: 3.7807885820; position: (5152, 97); grid: (3, 0);
file: 0004.jpg; corr: 3.8573954117; position: (6870, 81); grid: (4, 0);
file: 0005.jpg; corr: 3.7730383939; position: (8589, 65); grid: (5, 0);
file: 0006.jpg; corr: 3.8647724754; position: (10306, 49); grid: (6, 0);
file: 0007.jpg; corr: 3.7995459655; position: (12024, 33); grid: (7, 0);
file: 0008.jpg; corr: 3.8095757709; position: (13744, 16); grid: (8, 0);
file: 0009.jpg; corr: 3.8173972833; position: (15461, 0); grid: (9, 0);
file: 0010.jpg; corr: 3.7581778694; position: (27, 1417); grid: (0, 1);
file: 0011.jpg; corr: 3.7987940634; position: (1741, 1400); grid: (1, 1);
file: 0012.jpg; corr: 3.8453651400; position: (3459, 1384); grid: (2, 1);
file: 0013.jpg; corr: 3.8208283865; position: (5176, 1367); grid: (3, 1);
file: 0014.jpg; corr: 3.8410247559; position: (6895, 1352); grid: (4, 1);
file: 0015.jpg; corr: 3.7656350819; position: (8612, 1336); grid: (5, 1);
file: 0016.jpg; corr: 3.8433861311; position: (10330, 1320); grid: (6, 1);
file: 0017.jpg; corr: 3.7974953453; position: (12049, 1304); grid: (7, 1);
file: 0018.jpg; corr: 3.8412790199; position: (13767, 1288); grid: (8, 1);
file: 0019.jpg; corr: 3.8496997426; position: (15482, 1272); grid: (9, 1);
file: 0020.jpg; corr: 3.8217736539; position: (44, 2698); grid: (0, 2);
file: 0021.jpg; corr: 3.8283798149; position: (1759, 2682); grid: (1, 2);
file: 0022.jpg; corr: 3.8051467120; position: (3475, 2666); grid: (2, 2);
file: 0023.jpg; corr: 3.7960055003; position: (5190, 2649); grid: (3, 2);
file: 0024.jpg; corr: 3.8132164473; position: (6908, 2633); grid: (4, 2);
file: 0025.jpg; corr: 3.8628027091; position: (8625, 2617); grid: (5, 2);
file: 0026.jpg; corr: 3.7892355501; position: (10343, 2601); grid: (6, 2);
file: 0027.jpg; corr: 3.8286824078; position: (12064, 2585); grid: (7, 2);
file: 0028.jpg; corr: 3.8696334070; position: (13781, 2569); grid: (8, 2);
file: 0029.jpg; corr: 3.9131247621; position: (15497, 2553); grid: (9, 2);
file: 0030.jpg; corr: 3.7995981850; position: (56, 3975); grid: (0, 3);
file: 0031.jpg; corr: 3.8679848533; position: (1775, 3958); grid: (1, 3);
file: 0032.jpg; corr: 3.8584460336; position: (3491, 3942); grid: (2, 3);
file: 0033.jpg; corr: 3.7935278441; position: (5208, 3926); grid: (3, 3);
file: 0034.jpg; corr: 3.8254311919; position: (6925, 3910); grid: (4, 3);
file: 0035.jpg; corr: 3.8554666588; position: (8642, 3894); grid: (5, 3);
file: 0036.jpg; corr: 3.8066807087; position: (10360, 3876); grid: (6, 3);
file: 0037.jpg; corr: 3.8316549336; position: (12079, 3860); grid: (7, 3);
file: 0038.jpg; corr: 3.8477878350; position: (13797, 3844); grid: (8, 3);
file: 0039.jpg; corr: 3.8820146508; position: (15510, 3828); grid: (9, 3);
file: 0040.jpg; corr: 3.8879548886; position: (71, 5260); grid: (0, 4);
file: 0041.jpg; corr: 3.8520055366; position: (1786, 5243); grid: (1, 4);
file: 0042.jpg; corr: 3.8288001681; position: (3502, 5227); grid: (2, 4);
file: 0043.jpg; corr: 3.8587774776; position: (5220, 5211); grid: (3, 4);
file: 0044.jpg; corr: 3.8567950026; position: (6937, 5195); grid: (4, 4);
file: 0045.jpg; corr: 3.8299954996; position: (8654, 5180); grid: (5, 4);
file: 0046.jpg; corr: 3.7835764565; position: (10373, 5163); grid: (6, 4);
file: 0047.jpg; corr: 3.8574555571; position: (12090, 5147); grid: (7, 4);
file: 0048.jpg; corr: 3.8548512897; position: (13807, 5131); grid: (8, 4);
file: 0049.jpg; corr: 3.8099337181; position: (15524, 5114); grid: (9, 4);
file: 0050.jpg; corr: 3.7751861298; position: (83, 6536); grid: (0, 5);
file: 0051.jpg; corr: 3.8218074056; position: (1802, 6519); grid: (1, 5);
file: 0052.jpg; corr: 3.8359213690; position: (3518, 6503); grid: (2, 5);
file: 0053.jpg; corr: 3.8998936586; position: (5236, 6488); grid: (3, 5);
file: 0054.jpg; corr: 3.8711836692; position: (6953, 6472); grid: (4, 5);
file: 0055.jpg; corr: 3.8894847549; position: (8669, 6456); grid: (5, 5);
file: 0056.jpg; corr: 3.8672670069; position: (10387, 6440); grid: (6, 5);
file: 0057.jpg; corr: 3.8557719827; position: (12106, 6423); grid: (7, 5);
file: 0058.jpg; corr: 3.8564770151; position: (13824, 6407); grid: (8, 5);
file: 0059.jpg; corr: 3.8415600823; position: (15537, 6389); grid: (9, 5);
file: 0060.jpg; corr: 3.8265362649; position: (96, 7819); grid: (0, 6);
file: 0061.jpg; corr: 3.8337427638; position: (1811, 7802); grid: (1, 6);
file: 0062.jpg; corr: 3.8334173512; position: (3527, 7787); grid: (2, 6);
file: 0063.jpg; corr: 3.9186580526; position: (5245, 7771); grid: (3, 6);
file: 0064.jpg; corr: 3.8803229800; position: (6963, 7754); grid: (4, 6);
file: 0065.jpg; corr: 3.9035441558; position: (8680, 7738); grid: (5, 6);
file: 0066.jpg; corr: 3.8574990755; position: (10397, 7722); grid: (6, 6);
file: 0067.jpg; corr: 3.8659605542; position: (12114, 7706); grid: (7, 6);
file: 0068.jpg; corr: 3.8432505191; position: (13828, 7691); grid: (8, 6);
file: 0069.jpg; corr: 3.8924727084; position: (15546, 7675); grid: (9, 6);
file: 0070.jpg; corr: 0.8201411680; position: (108, 9101); grid: (0, 7);
file: 0071.jpg; corr: 3.8896726171; position: (1827, 9085); grid: (1, 7);
file: 0072.jpg; corr: 3.8952266512; position: (3543, 9069); grid: (2, 7);
file: 0073.jpg; corr: 3.9188710812; position: (5262, 9055); grid: (3, 7);
file: 0074.jpg; corr: 3.8900315032; position: (6980, 9039); grid: (4, 7);
file: 0075.jpg; corr: 3.8525955372; position: (8696, 9023); grid: (5, 7);
file: 0076.jpg; corr: 3.8765544774; position: (10413, 9006); grid: (6, 7);
file: 0077.jpg; corr: 3.8992475490; position: (12132, 8990); grid: (7, 7);
file: 0078.jpg; corr: 3.8224644803; position: (13847, 8974); grid: (8, 7);
file: 0079.jpg; corr: 3.9096626907; position: (15560, 8957); grid: (9, 7);
file: 0080.jpg; corr: 3.8176037186; position: (121, 10378); grid: (0, 8);
file: 0081.jpg; corr: 3.8514510715; position: (1836, 10362); grid: (1, 8);
file: 0082.jpg; corr: 3.8650288915; position: (3552, 10346); grid: (2, 8);
file: 0083.jpg; corr: 3.8735853528; position: (5270, 10330); grid: (3, 8);
file: 0084.jpg; corr: 3.8553538349; position: (6986, 10315); grid: (4, 8);
file: 0085.jpg; corr: 3.8692549477; position: (8704, 10299); grid: (5, 8);
file: 0086.jpg; corr: 3.9113221980; position: (10423, 10282); grid: (6, 8);
file: 0087.jpg; corr: 3.8759438036; position: (12138, 10267); grid: (7, 8);
file: 0088.jpg; corr: 3.8788337277; position: (13854, 10250); grid: (8, 8);
file: 0089.jpg; corr: 3.8532824335; position: (15573, 10236); grid: (9, 8);
file: 0090.jpg; corr: 3.7765626803; position: (134, 11666); grid: (0, 9);
file: 0091.jpg; corr: 3.8354196411; position: (1853, 11650); grid: (1, 9);
file: 0092.jpg; corr: 3.8388946610; position: (3570, 11634); grid: (2, 9);
file: 0093.jpg; corr: 3.8798300364; position: (5287, 11618); grid: (3, 9);
file: 0094.jpg; corr: 3.8944470457; position: (7004, 11602); grid: (4, 9);
file: 0095.jpg; corr: 3.8802612217; position: (8721, 11585); grid: (5, 9);
file: 0096.jpg; corr: 3.8800593603; position: (10440, 11569); grid: (6, 9);
file: 0097.jpg; corr: 3.9512467220; position: (12158, 11554); grid: (7, 9);
file: 0098.jpg; corr: 3.9040210340; position: (13875, 11538); grid: (8, 9);
file: 0099.jpg; corr: 3.9179535016; position: (15587, 11522); grid: (9, 9);
