file: 0078.jpg; corr: 3.8474578600; position: (13756, 9092); grid: (8, 7);
file: 0079.jpg; corr: 3.8550360294; position: (15469, 9106); grid: (9, 7);
file: 0080.jpg; corr: 3.8010689078; position: (11, 10240); grid: (0, 8);
file: 0081.jpg; corr: 3.8336496150; position: (1723, 10254); grid: (1, 8);
file: 0082.jpg; corr: 3.8973530320; position: (3440, 10270); grid: (2, 8);
file: 0083.jpg; corr: 3.8888141383; position: (5157, 10286); grid: (3, 8);
file: 0084.jpg; corr: 3.8194421032; position: (6872, 10304); grid: (4, 8);
file: 0085.jpg; corr: 3.8345787787; position: (8589, 10320); grid: (5, 8);
file: 0086.jpg; corr: 3.8637186242; position: (10306, 10335); grid: (6, 8);
file: 0087.jpg; corr: 3.8631701656; position: (12025, 10351); grid: (7, 8);
file: 0088.jpg; corr: 3.8346053614; position: (13742, 10367); grid: (8, 8);
file: 0089.jpg; corr: 3.8786510499; position: (15458, 10382); grid: (9, 8);
file: 0090.jpg; corr: 3.8577063636; position: (0, 11522); grid: (0, 9);
file: 0091.jpg; corr: 3.8359770556; position: (1717, 11538); grid: (1, 9);
file: 0092.jpg; corr: 3.8538705015; position: (3436, 11553); grid: (2, 9);
file: 0093.jpg; corr: 3.8570362855; position: (5155, 11570); grid: (3, 9);
file: 0094.jpg; corr: 3.8593963147; position: (6873, 11586); grid: (4, 9);
file: 0095.jpg; corr: 3.8164522201; position: (8590, 11603); grid: (5, 9);
file: 0096.jpg; corr: 3.8113412663; position: (10306, 11618); grid: (6, 9);
file: 0097.jpg; corr: 3.8943975923; position: (12023, 11634); grid: (7, 9);
file: 0098.jpg; corr: 3.8525366188; position: (13740, 11650); grid: (8, 9);
file: 0099.jpg; corr: 3.8840419214; position: (15453, 11665); grid: (9, 9);
